date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:06	119/119	---MC-	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2014:00:06%20GMT	https://first-advisors.com/robots.txt		(from )
19:30:07	24649/24649	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:00:06%20GMT	https://first-advisors.com/	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/index.html	(from )
19:30:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2014:00:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell/Desktop/barath/finance10/www.googletagmanager.com/gtm.05445.delayed	(from https://first-advisors.com/)
19:30:09	13599/13599	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:00:08%20GMT	https://first-advisors.com/wp-json/wp/v2/pages/4	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-json/wp/v2/pages/4.json	(from https://first-advisors.com/)
19:30:10	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2027%20Oct%202022%2014:00:09%20GMT	https://first-advisors.com/xmlrpc.php?rsd	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/xmlrpc.20db0.delayed	(from https://first-advisors.com/)
19:30:11	123447/123447	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:00:08%20GMT	https://first-advisors.com/wp-json/	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-json/index.html	(from https://first-advisors.com/)
19:30:11	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Thu,%2027%20Oct%202022%2014:00:10%20GMT	https://first-advisors.com/wp-includes/wlwmanifest.xml	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-includes/wlwmanifest.html	(from https://first-advisors.com/)
19:30:12	2229/2229	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:00:11%20GMT	https://first-advisors.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffirst-advisors.com%2F	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-json/oembed/1.0/embed470e.json	(from https://first-advisors.com/)
19:30:13	2323/2323	---MC-	200	added ('OK')	text/xml	date:Thu,%2027%20Oct%202022%2014:00:12%20GMT	https://first-advisors.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffirst-advisors.com%2F&format=xml	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-json/oembed/1.0/embed6a3c	(from https://first-advisors.com/)
19:30:14	949/949	---M--	200	added ('OK')	image/png	date:Tue,%2011%20May%202021%2018:30:44%20GMT	https://first-advisors.com/wp-content/themes/firstadvisors2021/assets/dist/img/touch-icon-iphone.png	C:/Users/dell/Desktop/barath/finance10/first-advisors.com/wp-content/themes/firstadvisors2021/assets/dist/img/touch-icon-iphone.png	(from https://first-advisors.com/)
